location_key,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,date,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered
AE,9890400,6836349,3054051,1290785,8479744,2833079,118.306,0.863,1011713,842991,2149343,3169314,1608109,797913,242707,55884,12426,2021-08-01,0,NA,0,NA,15279,16810996
AM,2963234,1393747,1569487,1087883,1869848,1083323,104.083,0.743,418859,368930,408924,503953,353088,362653,328402,126743,91682,2021-08-01,11611,120285,7750,51605,19361,171890
AR,44938712,19523766,20593330,3599141,41339571,15057273,16.515,0.825,6718871,7045513,6430658,5777148,4507125,3911943,2914251,1817557,994030,2021-08-01,31849,11077517,40788,3225024,72637,14302541
AT,8858775,4357033,4501742,3682651,5194416,1915338,107.1,0.908,855419,862277,1134471,1203124,1209216,1382468,989286,779997,442517,2021-08-01,2499,5340604,25430,4678624,27929,10019228
AU,25499881,12698625,12801256,3519551,21844756,4870388,3.319,0.939,3308974,3130480,3375454,3718344,3306060,3107735,2651187,1846376,1055271,2021-08-01,49772,8390671,61271,3927056,111043,12317727
AZ,10139175,5064664,5074511,4407153,5616165,2313138,122.664,0.751,1686038,1335458,1608985,1766692,1280803,1281076,804308,242762,133053,2021-08-01,43346,2923477,25070,2117301,68416,5040778
BD,164689383,83259108,81430275,102058744,60987417,20283552,1265.187,0.632,28972610,30674422,29765033,26511633,20651270,15005703,7296837,4095812,1716063,2021-08-01,283429,8803650,9121,4338165,292550,13141815
BE,11455519,5644826,5810693,224973,11259082,2065284,375.3,0.931,1282761,1288307,1416867,1488564,1508902,1594256,1326035,902858,646969,2021-08-01,2192,7780376,10161,6612145,12353,14392521
BG,7000039,3395701,3604338,1719734,5256027,1276937,63.9,0.782,670392,650000,727368,969414,1062720,946529,954084,680922,338610,2021-08-01,2165,2030301,1265,1001143,2165,2030301
BO,11673029,5858019,5815010,3480065,8033035,1835355,10.775,0.693,2364587,2297696,2039534,1639099,1238343,883592,615318,391941,202919,2021-08-01,17636,3124124,17344,1644738,20718,4526177
