Player,Year,Season,Date,Age,Team,Location,Opponent,Win,PTS_TM,PTS_OPP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Michael Jordan,1984-1985,Regular,10/26/1984,21-252,CHI,Home,WSB,W ,109,93,1,40:00:00,5,16,0.313,0,0,,6,7,0.857,1,5,6,7,2,4,5,2,16,12.5
Michael Jordan,1984-1985,Regular,10/27/1984,21-253,CHI,Away,MIL,L ,106,108,1,34:00:00,8,13,0.615,0,0,,5,5,1,3,2,5,5,2,1,3,4,21,19.4
Michael Jordan,1984-1985,Regular,10/29/1984,21-255,CHI,Home,MIL,W ,116,110,1,34:00:00,13,24,0.542,0,0,,11,13,0.846,2,2,4,5,6,2,3,4,37,32.9
Michael Jordan,1984-1985,Regular,10/30/1984,21-256,CHI,Away,KCK,W ,109,104,1,36:00:00,8,21,0.381,0,0,,9,9,1,2,2,4,5,3,1,6,5,25,14.7
Michael Jordan,1984-1985,Regular,11/1/1984,21-258,CHI,Away,DEN,L ,113,129,1,33:00:00,7,15,0.467,0,0,,3,4,0.75,3,2,5,5,1,1,2,4,17,13.2
Michael Jordan,1984-1985,Regular,11/7/1984,21-264,CHI,Away,DET,W ,122,118,1,27:00:00,9,19,0.474,0,0,,7,9,0.778,1,3,4,3,3,1,5,5,25,14.9
Michael Jordan,1984-1985,Regular,11/8/1984,21-265,CHI,Away,NYK,W ,121,106,1,33:00:00,15,22,0.682,0,0,,3,4,0.75,4,4,8,5,3,2,5,2,33,29.3
Michael Jordan,1984-1985,Regular,11/10/1984,21-267,CHI,Away,IND,W ,118,116,1,42:00:00,9,22,0.409,0,0,,9,12,0.75,2,7,9,4,2,5,3,4,27,21.2
Michael Jordan,1984-1985,Regular,11/13/1984,21-270,CHI,Home,SAS,W ,120,117,1,43:00:00,18,27,0.667,1,1,1,8,11,0.727,2,8,10,4,3,2,4,4,45,37.5
Michael Jordan,1984-1985,Regular,11/15/1984,21-272,CHI,Home,BOS,L ,105,125,1,33:00:00,12,24,0.5,0,1,0,3,3,1,0,2,2,2,2,1,1,4,27,17.1
Michael Jordan,1984-1985,Regular,11/17/1984,21-274,CHI,Home,PHI,L ,100,109,1,44:00:00,4,17,0.235,0,0,,8,8,1,0,5,5,7,5,2,4,5,16,12.5
Michael Jordan,1984-1985,Regular,11/19/1984,21-276,CHI,Home,IND,L ,120,137,1,39:00:00,11,26,0.423,0,3,0,12,16,0.75,2,3,5,2,2,1,3,3,34,20.8
Michael Jordan,1984-1985,Regular,11/21/1984,21-278,CHI,Away,MIL,L ,98,108,1,42:00:00,11,22,0.5,0,0,,13,14,0.929,4,9,13,2,2,2,6,3,35,26.7
Michael Jordan,1984-1985,Regular,11/23/1984,21-280,CHI,Away,SEA,W ,113,94,1,30:00:00,9,13,0.692,0,0,,5,6,0.833,0,4,4,3,4,1,4,4,23,19.5
Michael Jordan,1984-1985,Regular,11/24/1984,21-281,CHI,Away,POR,L ,131,141,1,41:00:00,10,24,0.417,0,1,0,10,10,1,3,3,6,8,3,1,4,4,30,23.9
Michael Jordan,1984-1985,Regular,11/27/1984,21-284,CHI,Away,GSW,L ,103,109,1,24:00:00,6,10,0.6,0,0,,1,1,1,0,2,2,3,3,2,4,1,13,11.1
Michael Jordan,1984-1985,Regular,11/29/1984,21-286,CHI,Away,PHO,L ,95,100,1,30:00:00,9,17,0.529,1,1,1,3,4,0.75,1,2,3,2,2,0,2,5,22,14
Michael Jordan,1984-1985,Regular,11/30/1984,21-287,CHI,Away,LAC,W ,104,100,1,37:00:00,9,15,0.6,0,0,,2,4,0.5,2,3,5,5,3,0,4,4,20,15.5
Michael Jordan,1984-1985,Regular,12/2/1984,21-289,CHI,Away,LAL,W ,113,112,1,42:00:00,7,13,0.538,0,0,,6,8,0.75,2,0,2,3,1,1,4,3,20,12.9
Michael Jordan,1984-1985,Regular,12/4/1984,21-291,CHI,Home,NJN,W ,112,97,1,35:00:00,7,13,0.538,0,0,,6,6,1,1,2,3,6,1,0,3,3,20,16
Michael Jordan,1984-1985,Regular,12/7/1984,21-294,CHI,Home,NYK,W ,95,93,1,43:00:00,8,16,0.5,0,1,0,5,7,0.714,1,1,2,3,2,0,6,5,21,9.3
Michael Jordan,1984-1985,Regular,12/8/1984,21-295,CHI,Home,DAL,W ,99,97,1,35:00:00,10,23,0.435,0,0,,0,0,,4,3,7,2,0,2,2,3,20,11.2
Michael Jordan,1984-1985,Regular,12/11/1984,21-298,CHI,Home,DET,L ,101,108,1,37:00:00,13,28,0.464,0,1,0,1,3,0.333,1,7,8,6,2,0,3,4,27,16.2
Michael Jordan,1984-1985,Regular,12/12/1984,21-299,CHI,Away,DET,L ,95,102,1,30:00:00,6,17,0.353,0,2,0,9,10,0.9,0,1,1,2,2,1,1,5,21,12.5
Michael Jordan,1984-1985,Regular,12/14/1984,21-301,CHI,Away,NJN,L ,109,111,1,44:00:00,12,25,0.48,0,0,,10,10,1,2,6,8,8,1,0,0,4,34,29.5
Michael Jordan,1984-1985,Regular,12/15/1984,21-302,CHI,Home,PHI,L ,102,114,1,27:00:00,7,16,0.438,0,0,,0,0,,1,1,2,2,1,0,1,2,14,7.2
Michael Jordan,1984-1985,Regular,12/18/1984,21-305,CHI,Home,HOU,L ,96,104,1,45:00:00,8,20,0.4,0,1,0,2,4,0.5,1,2,3,8,3,0,1,2,18,14.5
Michael Jordan,1984-1985,Regular,12/20/1984,21-307,CHI,Away,ATL,W ,132,129,1,41:00:00,12,22,0.545,0,0,,10,16,0.625,4,4,8,7,5,1,7,5,34,26.6
Michael Jordan,1984-1985,Regular,12/22/1984,21-309,CHI,Home,BOS,W ,110,85,1,35:00:00,12,18,0.667,0,0,,8,8,1,1,11,12,8,0,3,3,3,32,31.7
Michael Jordan,1984-1985,Regular,12/27/1984,21-314,CHI,Home,CLE,W ,112,108,1,44:00:00,20,33,0.606,0,1,0,5,5,1,2,5,7,11,3,0,3,1,45,40.1
Michael Jordan,1984-1985,Regular,12/29/1984,21-316,CHI,Home,ATL,L ,101,104,1,39:00:00,7,18,0.389,0,0,,7,9,0.778,1,3,4,5,0,0,3,6,21,10.1
Michael Jordan,1984-1985,Regular,1/2/1985,21-320,CHI,Away,ATL,L ,107,121,1,34:00:00,10,14,0.714,0,0,,5,6,0.833,1,6,7,4,3,0,4,2,25,22.3
Michael Jordan,1984-1985,Regular,1/4/1985,21-322,CHI,Home,MIL,W ,106,101,1,38:00:00,9,16,0.563,0,1,0,4,5,0.8,0,2,2,6,3,0,0,4,22,20.2
Michael Jordan,1984-1985,Regular,1/5/1985,21-323,CHI,Away,NYK,L ,113,119,1,42:00:00,16,25,0.64,0,0,,10,11,0.909,4,3,7,4,2,1,3,3,42,35.5
Michael Jordan,1984-1985,Regular,1/9/1985,21-327,CHI,Away,BOS,L ,108,111,1,42:00:00,12,24,0.5,0,0,,12,13,0.923,4,2,6,6,2,1,4,4,36,28.3
Michael Jordan,1984-1985,Regular,1/11/1985,21-329,CHI,Home,NYK,W ,113,97,1,30:00:00,8,14,0.571,0,0,,7,7,1,2,4,6,5,2,0,5,3,23,18.3
Michael Jordan,1984-1985,Regular,1/12/1985,21-330,CHI,Away,CLE,L ,98,101,1,36:00:00,10,21,0.476,0,1,0,4,6,0.667,4,8,12,3,1,0,3,5,24,15.8
Michael Jordan,1984-1985,Regular,1/14/1985,21-332,CHI,Home,DEN,W ,122,113,1,43:00:00,11,16,0.688,0,0,,13,15,0.867,2,12,14,15,3,1,6,3,35,39.4
Michael Jordan,1984-1985,Regular,1/16/1985,21-334,CHI,Away,NJN,L ,94,100,1,44:00:00,8,17,0.471,0,1,0,11,12,0.917,1,6,7,7,2,0,6,3,27,20.1
Michael Jordan,1984-1985,Regular,1/17/1985,21-335,CHI,Home,CLE,W ,98,93,1,40:00:00,8,20,0.4,0,0,,9,12,0.75,0,4,4,6,2,2,3,4,25,17.2
Michael Jordan,1984-1985,Regular,1/19/1985,21-337,CHI,Away,IND,L ,107,110,1,41:00:00,15,27,0.556,2,4,0.5,6,8,0.75,2,10,12,7,3,2,2,5,38,34
Michael Jordan,1984-1985,Regular,1/22/1985,21-340,CHI,Home,POR,W ,123,115,1,39:00:00,11,20,0.55,0,1,0,7,7,1,1,11,12,5,2,0,4,4,29,23.3
Michael Jordan,1984-1985,Regular,1/25/1985,21-343,CHI,Home,SEA,W ,93,76,1,37:00:00,6,15,0.4,0,1,0,10,10,1,2,2,4,8,4,2,1,3,22,24.7
Michael Jordan,1984-1985,Regular,1/26/1985,21-344,CHI,Home,ATL,W ,117,104,1,43:00:00,17,24,0.708,0,0,,11,11,1,1,7,8,10,0,4,5,3,45,41.4
Michael Jordan,1984-1985,Regular,1/29/1985,21-347,CHI,Home,KCK,W ,103,97,1,38:00:00,11,17,0.647,0,0,,4,6,0.667,0,7,7,7,3,0,1,3,26,25.5
Michael Jordan,1984-1985,Regular,1/30/1985,21-348,CHI,Away,WSB,L ,95,106,1,41:00:00,12,19,0.632,0,0,,14,15,0.933,0,7,7,8,4,0,4,3,38,35.6
Michael Jordan,1984-1985,Regular,2/1/1985,21-350,CHI,Away,PHI,L ,110,121,1,37:00:00,9,16,0.563,0,2,0,13,14,0.929,0,6,6,5,2,0,3,5,31,25.3
Michael Jordan,1984-1985,Regular,2/5/1985,21-354,CHI,Home,BOS,L ,106,110,1,45:00:00,14,25,0.56,0,1,0,13,14,0.929,4,8,12,7,4,1,1,6,41,40.1
Michael Jordan,1984-1985,Regular,2/7/1985,21-356,CHI,Away,CLE,L ,99,108,1,38:00:00,8,17,0.471,0,0,,7,8,0.875,3,1,4,7,4,0,7,6,23,15.8
Michael Jordan,1984-1985,Regular,2/12/1985,21-361,CHI,Home,DET,W ,139,126,1,45:00:00,19,31,0.613,0,0,,11,13,0.846,7,8,15,5,4,0,6,5,49,40.9
Michael Jordan,1984-1985,Regular,2/15/1985,21-364,CHI,Home,IND,L ,96,114,1,37:00:00,8,20,0.4,0,1,0,1,2,0.5,1,6,7,6,0,2,4,1,17,9.5
Michael Jordan,1984-1985,Regular,2/17/1985,22-000,CHI,Away,MIL,L ,105,125,1,34:00:00,9,15,0.6,0,0,,8,8,1,2,1,3,3,2,1,5,1,26,20.2
Michael Jordan,1984-1985,Regular,2/19/1985,22-002,CHI,Home,LAL,L ,117,127,1,30:00:00,6,13,0.462,0,2,0,4,5,0.8,4,2,6,8,0,0,3,5,16,12.9
Michael Jordan,1984-1985,Regular,2/22/1985,22-005,CHI,Away,BOS,L ,105,115,1,42:00:00,8,18,0.444,0,0,,10,12,0.833,1,3,4,7,3,0,3,3,26,21.1
Michael Jordan,1984-1985,Regular,2/23/1985,22-006,CHI,Home,GSW,W ,140,125,1,32:00:00,15,20,0.75,0,0,,8,8,1,1,4,5,5,3,0,0,4,38,36.8
Michael Jordan,1984-1985,Regular,2/26/1985,22-009,CHI,Home,CLE,L ,118,123,1,48:00:00,12,27,0.444,0,1,0,4,4,1,3,6,9,5,0,0,1,4,28,18.7
